A dese ayaǵın: T dese tayaǵın kóteretuǵın,"Sawatsız, ańqaw."
Abıroyıń assın: mártebeń tassın,"Tilek, pátiya."
Adam bilmes: kóz ilmes,"Tań qalarlıq."
Aǵam barda: arqam tamda,"Súyeniw, iseniw, arqa súyew."
Ajdarhanı at etken: habjılandı qamshı etken,"Batır, jawınger."
Ay barıp: aman qayt,"Tilek, pátiya."
Ayranday atlap, qımızday pisiw,"Ózi biylep-tóslew."
Aytıspaytuǵın sırı, shertpeytuǵın tarı (bolmaw),"Sırlas, pikirles."
Ala tana arqaǵa, qara tana qublaǵa ketiw,"Pıtırap ketiw, hárkim hár jaqqa ketiw, búliniw, toz-tozı shıǵıw, wayran bolıw. \n **Sin:** Ulı urımǵa, qızı qırımǵa (ketiw)."
Aldı bar da, artı joq,"Tez ashıwlanıp, birden háwirinen túsiw, qaytımı tez."
Aldı Maqtımqulı, keyni sıptırıńqı,"Bası jaqsı, keyni jaman bolıw, buzılıw."
Aldı tolı mal menen, keyni tolı shań menen,"Barlıq sán-saltanatı menen."
Aldıńda aǵa, keynińde ini (joq, bar),"Ámengeri joq, arqa súyer tuwısqanı joq. \n **Var:** Aldında basshı, keyninde qosshı (joq, bar)."
Alısına xat jollap, jaqınına at jollaw,"Xabarın jetkeriw. \n **Var:** Alıstan at jollap, ya xat jollap."
Alısta júrse kisnesken, jaqında júrse tislesken,"Kelise almaytuǵın, basları pispeytuǵın."
Allanıń názerinde, baxıttıń bazarında (bolǵaysız),"Tilek, pátiya. \n **Var:** Baxıttıń bazarında, allanıń názerinde (bolǵaysız)."
Allatala jol berse: áwliyeler qol berse,"Jolí bolsa, kelisip ketse."
Alma pis, awzıma tús (dep otırıw),"Jalqaw, xosh jaqpas."
Almaytuǵın jawı, shıqpaytuǵın tawı (joq),"Batır, qolınan keliw."
Altı alasım (joq), bes beresim (joq),"Hesh bir qatnası joq, baylanısı, jaqınlıǵı joq."
Amanlıq joq, esenlik joq,"Hal-ahwal soraspay, birden, tosattan. \n **Var:** Amanlıq, esenlik joq; Sálem joq, álem joq."
Ana qulaǵınan kirip, mına qulaǵınan shıǵıw,"Aytılǵan gápti itibarsızlıq penen tıńlaw, dıqqat bólmew, esinde qalmaw. \n **Var:** Bir qulaǵınan kirip, bir qulaǵınan shıǵıw; Bir qulaǵınan kirip, ekinshi qulaǵınan shıǵıw."
Ańǵısın ańlap, tıńǵısın tıńlaw,"Anıǵına jetiw tıńlaw, jaqsılap túsinip alıw, sabır etiw. \n **Var:** Ańǵısın ańlamaw, tıńǵısın tıńlamaw."
Aq degeni alǵıs, qara degeni ǵarǵıs bolıw,"Aytqanı bolatuǵın."
Aq dese aq, qara dese qara (dew),"Tákabbir, óktem, qaytpas qara."
Aq juwıp, aq taraw,"Álpeshlew, ǵamxorlıq etiw, mehr beriw."
Aq juwıp, arıw kepinlew,"Jerlew."
Aq nayzanıń ushı menen, aq bilektiń kúshi menen,"Bar kúshim menen."
Aq shashlı, sarı tisli,"Ǵarrı adam, qartayǵan, jası úlken, kóp jasaǵan."
Aqılı altıǵa, oyı onǵa bóliniw,"Oylanıp-oylanıp bir sheshimge kele almaw. \n **Var:** aqılı altı bólek bolıw."
Aqılı hayran, kókiregi wayran,"Qattı qapa bolıp, jol taba almay qalıw."
Aqsaqtıń aqırına, soqırdıń sońına baǵıw,"Sabır etiw, shıdam beriw, aqırın oylaw, oylanıw. \n **Var:** soqırdıń sońına baǵıw; Áliptiń sońına baǵıw."
Aq túye, kók túye shoģıw,"Qıyınshılıqlar, mashqalalarǵa duwshar bola beriw."
Aqtı aqtay, qaranı qaraday,"Ótirik sóylemew, kórgenin aytıw."
Arın arlap, jırtısın jırtıw,"Qarasıw, bolısıw. \n **Var:** arın arlap, jırın jırlaw; arın arlap, muńın muńlaw; arın arlaw."
Arqası besikte, awzı emshekte emes,"Jas emes, esi pútin, ulǵayǵan. \n **Var:** arqası besikte emes."
Arqasın biyt jep, tapqanın iyt jew,"Biydáwlet, hesh nársege jarımaw. \n **Var:** tapqanın iyt jew, arqasın biyt jep; arqasın biyt ǵayzaǵan, tayaǵın iyt ǵayzaǵan; tayaǵın iyt ǵayzaw."
Asarın asap, jasarın jasaw,"Qartayǵan, jası ótken. \n **Var:** jasarın jasaw. \n **Sin:** bir ayaǵı górde, bir ayaǵı jerde bolıw; qoydıń ómirindey ómiri qalıw; tórinen góri juwıq."
Ash bolsa ash, toq bolsa toq,"Birgelikte. \n **Sin:** kúlse kúlip, jılasa jılaw."
Ash qulaqtan, tınısh qulaq,"Indemey tınısh júriw."
Ashılmaǵan gúl, jarılmaǵan qawın,"Jas. \n **Sin:** awzınıń sarısı ketpegen; on gúlinen bir gúli ashılmaǵan."
Ashshısın túkirip, dushshısın jutıw,"Shıdaw, sabır etiw."
Asınıń aldı, suwınıń tınıǵı,"Eń qádirlisi, súykimlisi."
Asınıń aldı, sútiniń qaymaǵın (jew),"Eń jaqsıların."
Asıqtay atıp, toptay qaǵıw,"Qorqıtıw, kúsh kórsetiw."
Aspanǵa ushsa ayaǵınan, jerge kirse (tóbe) shashınan (tartıw),"Izine túsiw, tınıshına qoymaw, izinen qalmay haqıyqatlıqqa jetiw. \n **Var:** aspanǵa ushsa qanatınan, jerge kirse shashınan (tartıw); kókke ushsa ayaqtan, jerge sińse shashınan (julqılaw)."
Aspannan súyewsiz, jerden tirewsiz,"Qayırxomı joq, qáwenderi joq."
Astı jer, ústi tepki bolıw,"Tayaq jew."
Atań jaqsı, eneń keywanı,"Marapat beriw menen, jalınıw menen."
At kórip, ayaǵı talıw,"Erinsheklik etiw."
At qoyıp, aydar taǵıw,"Belgilew."
Atsa mıltıq, shapsa qılısh kespew,"Shıdamlı, hesh náse tásir etpeytuǵın."
Attan tússe de, erden túspew,"Ózin tutıw, ózin áwelgi dárejesinde tutıw."
Awıl aymaǵı menen, bota taylaǵı menen,"Hámmesi, barlıǵı, adam qalmay. \n **Sin:** Jeti jasar baladan, jetpis jasar ǵarrıǵa shekem; tayda tuyaq qalmay."
Awıl aralas, qoy qoralas,"Jaqın, qońsı (turıw). \n **Var:** qoy qoralas."
Awırdıń ústi (menen), jeńildiń astı menen (júriw),"Hayyar, miynetke joq. \n **Var:** Jeńildiń ústi menen; Awırdıń astı (menen), jeńildiń ústi menen (jasaw)."
Awızlıǵa aldırmay, qanatlıǵa qaqtırmay,"Qorǵaw, hesh kimge tiydirmew asıraw, abaylaw. \n **Var:** qanatlıǵa qaqtırmay, tumsıqlıǵa shoqtırmaw; qanatlıǵa qaqtırmay, tuyaqlıǵa teptirmey."
Awzınan aq iyt kirip, qara iyt shıǵıw,"Jaman sóz aytıw, ǵarǵaw. \n **Var:** awızdan aq iyt te, qara iyt te kirip shıǵıw."
Awzınan sarısı, arqasınan besik tabı ketpegen,"Jas, ele erjetpegen."
Ay dese awzı (bar), kún dese kozi bar,"Júdá sulıw, asa ketken sulıw, gózzal."
Ay jarılqap, kún tuwdı,"Kelisip ketiw. \n **Var:** aq jarılqap, kún tuwıp."
Ay júr, aman júr,"Tilek."
Ayaqlıǵı jol bolıp, awızlıǵı sóz bolıw,"Izine gáp eriw, gáp bolıw."
Aydarlı qul, tulımlı kúń menen,"Hámmesi."
Aydarlısın qul etip, tulımlısın tul etip,"Hámmesin, hesh kimdi qaldırmay."
Ayı tuwıp, kúni shıǵıw,"Isi júrisiw, jaqsılanıw, isi ońınan keliw, áwmeti keliw."
Ayran ishken qutılıp, shelek jalaǵan tutulıw,"Jalanı qılmıslıdan haq adamǵa awdarıw, haqtan jandırıw."
Aytıp awzın jumǵansha, esken samal tınǵansha,"Tez, demde."
Aytqanı-aytqan, degeni-degen,"Aytqanı bolatuǵın, hámirin júritetuǵın (adam)."
Ádep oylanıp, keyin sóyleytuǵın,"Aqıllı, parasatlı."
Ákeden jas, aqıldan bos qalǵan,"Ákesiz ósken, ake tárbiyasın ala almaǵan."
Ármanıńız qalmasın, bellerińiz talmasın,"Tilek, pátiya."
Árwaǵı kúshli, perishtesi basım,"Arqası bar, kózi ashıq adamlar tuwralı aytıladı."
Árwanaday aznap, botaday bozlap,"Jılaw, zar-eńirew. \n **Sin:** etegi jasqa tolıw, kóz jası kól bolıw."
Ári urı, ári ústem,"Ayıplı bolıp turıp ózin ayıpsızlarday tutıp háreket etetuǵın adamlarǵa aytıladı. \n **Var:** hám urı, hám ústem."
Áy deytuǵın áje, qoy deytuǵın qoja joq,"Tártipke shaqıratuǵın jası úlkeni, jaqını joq. \n **Var:** qoy deytuǵın qoja joq. \n **Sin:** Ya bashı joq, ya qoshı joq."
Áwliyege at aytıp, Xorasanǵa qoy aytıp,"Qudaydan tilep."
Badam qabaq, aq tamaq,"Sulıw, kelisken."
Báleden - báterden, qáwipten-qáterden saqlasın,"Tilek, pátiya."
Bar tabaǵım, kel tabaǵım,"Qatnasıq."
Barar jeri, batar kóli joq,"Mákan-jayı joq. \n **Var:** Shıǵar tawı, batar kóli joq."
Bararına esik joq, kirerine tesik joq,"Mákan-jayı joq."
Bararına jeri joq, batarına kóli joq,"Mákan-jayı joq. \n **Var:** barar belli jeri joq, batarına kóli joq; Bararına jeri joq."
Baratırǵannıń baltasın, kiyatırǵannıń ketpenin (alatuǵın),"Urnıqqır, biyhaya, julpıs, urısqaq. \n **Var:** Baratqannıń baltasın, kiyatırǵannıń ketpenin alatuǵın; Kiyatırǵannıń ketpenin, baratırǵannıń baltasın (alıw); Otırǵannıń oraǵın, kiyatırǵannıń ketpenin alatuǵın; Baratırǵannıń baltasın alıp, kiyatırǵannıń qaltasın kesiw. \n **Sin:** Tiygenge tiyip, tiymegenge kesek atıw."
Baratırǵannıń baltasın, kiyatırǵannıń ketpenin (aytıw, áńgime etiw, gáp etiw),"Ósek aytıw, kóp sóylew."
Baratuǵın jeri, batatuǵún kóli (joq),"Dalada qalıw, baspanası bolmaw. \n **Var:** Bararına jeri (joq), batarına kóli joq; Baratuǵin jeri joq, basatuǵın tawı joq; Bararǵa jeri, qonarǵa kóli joq; Bararına jeri joq."
Barar jerin, batar kólin (aytpay),"Mákanın (adresin) aytpaw."
Barǵan jerin quwantıp, ketken jerin suwaltıp,"Uzatılıp baratırǵan qız tuwralı aytıladı."
Bаrdı аsırıp, jоqtı jаsırıp,"Kemisin bildirmew."
Barmaǵan jeri, baspaǵan tawı (bolmaw, qalmaw, joq),"Hámme nárseni kórgen, kópti kórgen. \n **Sin:** Kirmegen esigi, úńilmegen tesigi (qalmaw)."
Barmaǵan esik, kirmegen tesik (qalmaw),"Tentene bolıw."
Bas demey, kóz demey (urıw, tebiw),"Qalay bolsa solay, gez kelgen jerine. \n **Var:** Bet demey, kóz demey."
```